Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base,Taker Buy Quote
2023-02-26,7.37100000,7.54800000,7.29300000,7.49700000,2541969.05000000,2023-02-26 23:59:59.999,18856092.10065000,66715,1248021.75000000,9253656.91157000
2023-02-27,7.49400000,7.50800000,7.12100000,7.27400000,4004585.73000000,2023-02-27 23:59:59.999,29286764.82945000,100711,1839876.55000000,13462996.24890000
2023-02-28,7.27400000,7.42200000,7.09600000,7.19500000,4034405.79000000,2023-02-28 23:59:59.999,29419842.87225000,97297,1844099.44000000,13452222.39683000
2023-03-01,7.19600000,7.54700000,7.14600000,7.53600000,3750777.74000000,2023-03-01 23:59:59.999,27768618.58261000,87704,1949419.70000000,14440367.28834000
2023-03-02,7.53600000,7.58500000,7.16300000,7.27500000,2870686.88000000,2023-03-02 23:59:59.999,20987481.36674000,72266,1335306.86000000,9766207.08799000
2023-03-03,7.27500000,7.27600000,6.65500000,6.95800000,5309534.51000000,2023-03-03 23:59:59.999,36480196.78213000,123692,2351087.44000000,16147444.08089000
2023-03-04,6.95800000,7.01100000,6.70800000,6.85700000,2738464.51000000,2023-03-04 23:59:59.999,18824654.48917000,64299,1260114.43000000,8662641.44054000
2023-03-05,6.85700000,7.01700000,6.80700000,6.94500000,1968494.16000000,2023-03-05 23:59:59.999,13658001.79348000,52176,967899.01000000,6716336.83111000
2023-03-06,6.94600000,6.98100000,6.81900000,6.85400000,2608480.81000000,2023-03-06 23:59:59.999,17978200.71398000,61567,1272628.75000000,8771653.02894000
2023-03-07,6.85700000,6.97400000,6.66700000,6.88100000,3015787.65000000,2023-03-07 23:59:59.999,20542030.22610000,69549,1383862.33000000,9427203.03658000
2023-03-08,6.88400000,6.94800000,6.49400000,6.57700000,4098815.39000000,2023-03-08 23:59:59.999,27510464.06733000,100792,2017122.57000000,13545317.59633000
2023-03-09,6.57800000,6.69000000,6.00700000,6.16000000,5988809.54000000,2023-03-09 23:59:59.999,38140540.92253000,125513,2736413.39000000,17450389.40461000
2023-03-10,6.16100000,6.26400000,5.89000000,6.21500000,6622037.72000000,2023-03-10 23:59:59.999,40558501.03733000,139867,3316072.71000000,20316779.56333000
2023-03-11,6.21400000,6.39200000,5.92000000,6.16200000,5658192.38000000,2023-03-11 23:59:59.999,34587171.82137000,131411,2762386.38000000,16891542.96008000
2023-03-12,6.16100000,6.57400000,6.07000000,6.55100000,4811076.25000000,2023-03-12 23:59:59.999,30170146.64141000,106663,2384905.19000000,14962299.47182000
2023-03-13,6.55200000,6.88500000,6.39500000,6.76100000,7817274.03000000,2023-03-13 23:59:59.999,51948034.91692000,168544,4016459.97000000,26697964.82098000
2023-03-14,6.76000000,7.20000000,6.60800000,6.96000000,8906153.46000000,2023-03-14 23:59:59.999,61574401.71164000,204145,4371204.64000000,30216453.82156000
2023-03-15,6.95900000,7.11000000,6.37900000,6.54600000,6800328.84000000,2023-03-15 23:59:59.999,45730101.22589000,178019,3272961.55000000,22055912.00735000
2023-03-16,6.54600000,6.67800000,6.44300000,6.65600000,3617223.30000000,2023-03-16 23:59:59.999,23828025.71480000,109394,1725633.26000000,11369471.31181000
2023-03-17,6.65600000,7.25800000,6.59700000,7.20700000,6885611.19000000,2023-03-17 23:59:59.999,48176993.16447000,157259,3469671.05000000,24284118.69236000
2023-03-18,7.20600000,7.29900000,6.85000000,6.92200000,5649288.39000000,2023-03-18 23:59:59.999,40291430.98778000,136009,2673318.05000000,19072830.75902000
2023-03-19,6.92200000,7.28100000,6.91600000,7.08100000,3603006.94000000,2023-03-19 23:59:59.999,25619028.29212000,98411,1821311.77000000,12954442.65844000
2023-03-20,7.08100000,7.48000000,6.91000000,7.05000000,8993047.32000000,2023-03-20 23:59:59.999,64932408.53673000,225263,4630552.55000000,33453154.62342000
2023-03-21,7.05000000,7.47000000,6.83800000,7.37500000,6546284.62000000,2023-03-21 23:59:59.999,47034209.42232000,169380,3233100.05000000,23251851.47436000
2023-03-22,7.37500000,7.72300000,7.00100000,7.17300000,12062579.73000000,2023-03-22 23:59:59.999,89425523.05166000,288515,6240084.19000000,46292207.68170000
2023-03-23,7.17300000,7.63700000,7.08600000,7.61000000,5950130.81000000,2023-03-23 23:59:59.999,44172430.96029000,137801,3084106.03000000,22901774.82389000
2023-03-24,7.60800000,7.65900000,7.11100000,7.19100000,4842235.46000000,2023-03-24 23:59:59.999,35722855.94783000,118345,2225661.37000000,16433293.23028000
2023-03-25,7.19100000,7.25400000,6.97000000,7.07500000,3022565.33000000,2023-03-25 23:59:59.999,21478926.48334000,70405,1449266.12000000,10306449.81635000
2023-03-26,7.07400000,7.29000000,7.04900000,7.26100000,1964988.21000000,2023-03-26 23:59:59.999,14143893.95785000,46502,982638.31000000,7072594.71558000
2023-03-27,7.26000000,7.27400000,6.74700000,6.87000000,4551721.99000000,2023-03-27 23:59:59.999,31727920.31528000,95050,2046220.41000000,14277678.12054000
2023-03-28,6.87100000,7.04600000,6.75000000,6.94700000,4084989.03000000,2023-03-28 23:59:59.999,28070389.00778000,84301,1925745.70000000,13231920.09344000
2023-03-29,6.94700000,7.49900000,6.92700000,7.38200000,5824927.72000000,2023-03-29 23:59:59.999,42347891.15739000,117030,3003236.52000000,21838117.39219000
2023-03-30,7.38200000,7.55800000,7.13200000,7.23300000,5273756.88000000,2023-03-30 23:59:59.999,38692226.47443000,112867,2585566.49000000,18982441.24405000
2023-03-31,7.23000000,7.69000000,7.22500000,7.58800000,6318296.29000000,2023-03-31 23:59:59.999,47505613.77922000,123639,3009312.61000000,22621618.39614000
2023-04-01,7.58800000,7.63600000,7.42700000,7.54800000,2706651.34000000,2023-04-01 23:59:59.999,20400775.36766000,59979,1344463.50000000,10135864.99764000
2023-04-02,7.54500000,7.54600000,7.19100000,7.25500000,2630646.16000000,2023-04-02 23:59:59.999,19324327.35443000,63291,1181024.19000000,8672911.98325000
